,nn,sp_simp,Type,Species,Width,Height,sp_simp,Type,Species,Width,Height
317,0.25,lar.tri,shrub,lar.tri,330,185,u3,shrub,u3,47,43
328,0.25,lar.tri,shrub,lar.tri,11,10,u3,shrub,u3,30,54
367,1.17686023,lar.tri,shrub,lar.tri,153,229,u3,shrub,u3,97,43
382,0.854400374,lar.tri,shrub,lar.tri,134,74,ephedra,shrub,ephedra,87,60
388,0.827647268,lar.tri,shrub,lar.tri,455,252,u3,shrub,u3,15,20
405,2.522399651,lar.tri,shrub,lar.tri,486,223,u3,shrub,u3,79,55
406,2.433105012,lar.tri,shrub,lar.tri,350,150,u3,shrub,u3,75,54
421,0.827647268,lar.tri,shrub,lar.tri,17,12,ephedra,shrub,ephedra,108,77
430,2.19544984,lar.tri,shrub,lar.tri,430,215,u3,shrub,u3,89,48
432,1.392838828,lar.tri,shrub,lar.tri,117,113,lar.tri,shrub,lar.tri,193,171
433,1.180042372,lar.tri,shrub,lar.tri,193,171,u3,shrub,u3,51,45
443,1.732772345,lar.tri,shrub,lar.tri,176,137,u3,shrub,u3,75,54
444,2.402602755,lar.tri,shrub,lar.tri,366,187,u3,shrub,u3,75,54
445,0.801560977,lar.tri,shrub,lar.tri,107,88,lar.tri,shrub,lar.tri,323,206
450,0.738241153,lar.tri,shrub,lar.tri,417,235,amb.sal,shrub,amb.sal,30,38
451,1.443086969,lar.tri,shrub,lar.tri,305,290,u2,shrub,u2,56,34
455,2.608639492,lar.tri,shrub,lar.tri,596,280,ephedra,shrub,ephedra,70,48
456,0.801560977,lar.tri,shrub,lar.tri,323,206,lar.tri,shrub,lar.tri,107,88
469,1.030776407,lar.tri,shrub,lar.tri,287,192,ephedra,shrub,ephedra,54,59
516,1.204159458,lar.tri,shrub,lar.tri,325,173,ephedra,shrub,ephedra,55,54
525,0.1,lar.tri,shrub,lar.tri,140,100,u3,shrub,u3,44,45
539,0.901387819,lar.tri,shrub,lar.tri,304,206,u3,shrub,u3,50,38
5,0.832165849,men.spi,shrub,men.spi,46,27,tha.mon,shrub,tha.mon,89,44
40,1.619413474,men.spi,shrub,men.spi,25,18,u3,shrub,u3,29,45
